id,name,email,phone,image,address,email_verified_at,password,user_type,created_at,,,,,
1,Trần Lê Phúc Thịnh,thinhtlppc04491@fpt.edu.vn,397314126,https://images.unsplash.com/photo-1535713875002-d1d0cf377fde?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8YXZhdGFyfGVufDB8fDB8fHww,"206, khu vực Thới Hòa",,12345678,candidate,2023-1-11 12:42:30,,,,,
2,Trần Thị Bảo Yến,yenttbpc03450@fpt.edu.vn,397314127,https://images.unsplash.com/photo-1438761681033-6461ffad8d80?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTF8fGF2YXRhcnxlbnwwfHwwfHx8MA%3D%3D,117 đường Phạm Thế Hiển,,12345678,candidate,2023-2-11 12:42:30,,,,,
3,Triệu Hồng Ký,kythpc04340@fpt.edu.vn,397314128,https://images.unsplash.com/photo-1599566150163-29194dcaad36?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8YXZhdGFyfGVufDB8fDB8fHww,"đường Trần Duy Hưng, hẻm 3, số nhà 92",,12345678,candidate,2023-3-11 12:42:30,,,,,
4,Tào Thiện Nhân,nhanttpc02480@fpt.edu.vn,397314129,https://images.unsplash.com/photo-1527980965255-d3b416303d12?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8YXZhdGFyfGVufDB8fDB8fHww,11 đường Nguyễn Tất Thành,,12345678,candidate,2023-4-11 12:42:30,,,,,
5,Nguyễn Hửu Thoại,thoainhpc04496@fpt.edu.vn,397314130,https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTR8fGF2YXRhcnxlbnwwfHwwfHx8MA%3D%3D,"Nguyễn Thị Minh Khai, nhà 24",,12345678,candidate,2023-6-11 12:42:30,,,,,
6,Vũ Thị Hà,vuthiha@example.com,397314131,https://images.unsplash.com/photo-1607746882042-944635dfe10e?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTB8fGF2YXRhcnxlbnwwfHwwfHx8MA%3D%3D,"quán hủ tiếu Khô Tổn, số nhà 73",,12345678,candidate,2023-7-11 12:42:30,,,,,
7,Bùi Hoàng Giang,buihoanggiang@example.com,397314132,https://images.unsplash.com/photo-1544725176-7c40e5a71c5e?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTZ8fGF2YXRhcnxlbnwwfHwwfHx8MA%3D%3D,226 đường Phạm Nhất Duy,,12345678,candidate,2023-8-11 12:42:30,,,,,
8,Ngô Thị Quế,ngothique@example.com,397314133,https://images.unsplash.com/photo-1569913486515-b74bf7751574?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mjd8fGF2YXRhcnxlbnwwfHwwfHx8MA%3D%3D,"Hẻm 16, số nhà A57/16 đường Lê Hồng Phong",,12345678,candidate,2023-9-11 12:42:30,,,,,
9,Lý Ngọc Trâm,lyngoctram@example.com,397314134,https://plus.unsplash.com/premium_photo-1677368597077-009727e906db?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzN8fGF2YXRhcnxlbnwwfHwwfHx8MA%3D%3D,số nhà 27 đường Lý Ngọc Quế,,12345678,candidate,2023-10-11 12:42:30,,,,,
10,Đinh Huy Thắng,dinhhuythang@example.com,397314135,https://images.unsplash.com/photo-1568602471122-7832951cc4c5?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTh8fGF2YXRhcnxlbnwwfHwwfHx8MA%3D%3D,37 đường Hai Bà Trưng,,12345678,candidate,2023-11-11 12:42:30,,,,,
11,Trịnh Hồng Thu,trinhhongthu@example.com,397314136,https://images.unsplash.com/photo-1558898479-33c0057a5d12?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzR8fGF2YXRhcnxlbnwwfHwwfHx8MA%3D%3D,kv 4 hẻm 6 số nhà 4/16/A71,,12345678,candidate,2023-12-11 12:42:30,,,,,
12,Đỗ Thị Hường,dothihuong@example.com,397314137,https://images.unsplash.com/photo-1568822617270-2c1579f8dfe2?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzV8fGF2YXRhcnxlbnwwfHwwfHx8MA%3D%3D,số nhà 772 Hẻm 16,,12345678,candidate,2023-1-11 12:42:30,,,,,
13,Hồ Quang Huy,hoquanghuy@example.com,397314138,https://images.unsplash.com/photo-1628157588553-5eeea00af15c?w=600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTl8fGF2YXRhcnxlbnwwfHwwfHx8MA%3D%3D,số nhà 773 Hẻm 16, ,12345678,candidate,2023-2-11 12:42:30,,,,,
